id,category
56,Policy
194,Policy
1832,Fraud
233,Policy
572,Economy
1210,Mergers_Acquisitions
2046,Fraud
867,Capital
637,Economy
173,International_Finance
1650,Commodities
1097,Mergers_Acquisitions
1518,Oil
2484,Earning_Reports
298,International_Finance
2052,Fraud
912,Capital
1834,Fraud
387,International_Finance
1014,Mergers_Acquisitions
2344,Earning_Reports
1106,Mergers_Acquisitions
2416,Earning_Reports
1011,Capital
259,Policy
178,Policy
210,Policy
1128,Mergers_Acquisitions
44,Policy
2418,Earning_Reports
2015,Fraud
1100,Mergers_Acquisitions
602,Economy
196,Policy
866,Capital
70,Policy
544,Economy
1423,Oil
890,Capital
1935,Fraud
1114,Mergers_Acquisitions
601,Economy
907,Capital
1783,Oil
1992,Fraud
2494,Earning_Reports
2281,Litigation
772,Economy
251,Policy
2424,Earning_Reports
1598,Commodities
2490,Earning_Reports
944,Capital
2066,Fraud
432,International_Finance
2342,Earning_Reports
2229,Litigation
1231,Mergers_Acquisitions
508,Capital
1001,Capital
1185,Mergers_Acquisitions
1984,Fraud
2514,Policy
755,International_Finance
2059,Fraud
2406,Earning_Reports
1078,Real_Estate
1488,Oil
1513,Oil
2002,Fraud
596,Policy
73,Policy
1988,Fraud
1873,Fraud
679,Economy
1703,Commodities
1567,Commodities
719,Economy
1871,Fraud
809,Capital
1612,Commodities
1050,Real_Estate
879,Capital
43,Economy
436,International_Finance
1731,Commodities
662,Economy
916,Capital
620,Economy
354,International_Finance
649,Economy
1964,Fraud
889,Capital
1653,Commodities
1381,Oil
246,Policy
1444,Oil
1510,Oil
254,Policy
1025,Real_Estate
1737,Commodities
1999,Fraud
2016,Litigation
2322,Earning_Reports
1754,Commodities
1389,Oil
599,Economy
367,Policy
527,International_Finance
175,Policy
2057,Fraud
1223,Mergers_Acquisitions
2365,Earning_Reports
2202,Litigation
170,Policy
2094,Litigation
422,International_Finance
1475,Oil
1273,Mergers_Acquisitions
1336,Oil
445,International_Finance
282,Policy
1037,Real_Estate
1117,Mergers_Acquisitions
2240,Litigation
393,International_Finance
2069,Fraud
807,Capital
568,Economy
1283,Mergers_Acquisitions
1826,Fraud
1268,Mergers_Acquisitions
1726,Commodities
2546,Earning_Reports
2090,Litigation
188,Policy
2129,Litigation
93,Policy
1621,Commodities
564,Economy
1972,Fraud
1351,Oil
134,Policy
1422,Oil
2162,Litigation
289,Policy
650,Economy
2081,Fraud
1403,Oil
986,Capital
1980,Fraud
746,Economy
2280,Litigation
705,Economy
518,International_Finance
1583,Commodities
782,Capital
2547,Earning_Reports
554,Economy
670,Economy
461,International_Finance
1113,Litigation
1599,Commodities
1736,Commodities
324,International_Finance
2227,Litigation
1700,Commodities
1732,Commodities
856,Capital
212,Mergers_Acquisitions
969,Capital
1691,Commodities
1655,Oil
1756,Commodities
1912,Fraud
218,Policy
621,Economy
168,Policy
2533,Earning_Reports
211,International_Finance
727,Economy
1916,Fraud
1622,Commodities
567,Policy
2225,Litigation
2218,Litigation
321,Earning_Reports
2044,Fraud
949,Capital
1083,Real_Estate
1165,Mergers_Acquisitions
111,Policy
651,Economy
